,0
0,0.007794171300411493
1,0.07484439053031394
2,0.03776095115548802
3,0.03359435925668455
4,0.07193013547479334
5,0.05503751278356772
6,0.0826405847254375
7,0.020890493331217
8,0.0908994646438636
9,0.0906137851715388
10,0.08686499777720384
11,0.15462025493344875
12,0.1306081648383834
13,0.18864661582788111
14,0.322348089422397
15,0.3768075514519938
16,0.40096757202150723
17,0.5921229546441305
18,0.43382109499932286
19,0.5986066925987795
20,0.7776506977374358
21,1.0356719411364486
22,1.2589893631068085
23,1.8293646671875146
24,2.275060679043838
25,2.3576293814819667
26,3.657641761168969
27,4.413380455882823
28,5.626410547425071
29,8.427869422889746
30,10.095682108811298
31,12.88686210338337
32,14.812714589222763
33,20.270579123876814
34,24.506289101896183
35,27.41870922379735
36,33.89451505060712
37,107.69986112706367
38,43.924463243287704
39,64.52631317100041
40,81.66253769701126
41,124.99105000655058
42,139.49351329431465
43,100.03722977347668
44,131.17355648307537
45,102.57488562695195
